,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,id_flag,host_id_flag,neighbourhood_flag,latitude_flag,longitude_flag,minimum_nights_flag,number_of_reviews_flag,last_review_flag,room_type_flag
394,12588033,Welcome to Chicago's smallest neighborhood...,2439224,Peter,,Irving Park,41.9511,-87.72433,Apartment,363.0,7,14,2020-12-14,0.18,1,358,0,R17000014667,0,0,0,0,0,0,0,0,1
395,12684163,2 bed 2 bath Smart Loft in Prime Location,10100685,Upscale Accommodations,,Near South Side,41.86544,-87.624,Entire home/apt,264.0,170,81,2018-06-03,1.02,2,354,0,City registration pending,0,0,0,0,0,0,0,0,0
396,12714714,Cozy Studio Apt. Home--5 Min. to U of C,69130426,Charla,,Hyde Park,41.7977,-87.60196,Entire home/apt,84.0,2,209,2022-11-23,2.68,2,338,29,R22000093397,0,0,0,0,0,0,0,0,0
397,12782772,Vintage Edgewater apartment,7304123,Aaron,,Edgewater,41.99127,-87.66796,Entire home/apt,48.0,32,5,2018-08-31,0.06,1,0,0,City registration pending,0,0,0,0,0,0,0,0,0
398,12869290,Bright and Spacious Condo in Chicago,4769189,Delphine,,Uptown,41.97394,-8766131.0,Entire home/apt,353.0,3,9,2022-08-05,0.12,1,0,1,R22000077720,0,0,0,0,1,0,0,0,0
399,12916554,"Walkable, Sunny, Safe, top floor w/ real view",5649246,Imran,,West Town,41.89534,-87.65897,Apartment,190.0,32,31,2021-08-10,0.39,1,0,0,R21000074560,0,0,0,0,0,0,0,0,1
400,12950970,Private BR in Chicago - Dwntwn & Fulton Mkt close,10613587,Saurin,,West Town,41.89331,-87.65947,Private room,72.0,1,176,2022-12-04,2.2,4,164,35,R21000073001,0,0,0,0,0,0,0,0,0
401,12950970,Private BR in Chicago - Dwntwn & Fulton Mkt close,10613587,Saurin,,West Town,41.89331,-87.65947,Private room,72.0,1,176,2022-12-04,2.2,4,164,35,R21000073001,1,0,0,0,0,0,0,0,0
402,12955743,Loyola Garden Room With Private Bathroom,71205935,Gary,,Rogers Park,42.00256,-87.66387,Private room,66.0,2,128,2022-12-05,1.61,2,185,21,R21000070286,0,0,0,0,0,0,0,0,0
403,13014320,Loft Style Private Apt (1 Room- 420 Friendly),71816766,Josh,,Edgewater,41.99747,-87.67077,Private room,42.0,1,285,2022-12-18,3.59,5,38,15,,0,0,0,0,0,0,0,0,0
404,13062802,"Cute Designer Touch Minimal Loft,Blue Line",22629423,Art,,West Town,41.89939,-87.65642,Entire home/apt,79.0,1,408,2022-12-04,5.1,1,106,74,R22000076753,0,0,0,0,0,0,0,0,0
405,13128883,Private Sunny Bedroom,14650054,Kevin,,Lower West Side,41.8486,-87.67924,Private room,27.0,200,36,2020-10-03,0.45,1,363,0,R17000014525,0,0,0,0,0,0,0,0,0
406,13137589,Unique 1 Bedroom Apartment at Logan Square!,3920450,Vas,,Avondale,41.93237,-87.72375,Entire home/apt,65.0,32,72,2022-05-21,0.91,4,142,3,,0,2,0,0,0,0,0,0,0
407,13149571,"Turquoise Wonder - Clean, Cozy & Stylish Apt",6325338,Lesley,,West Town,41.89488,-87.69123,Entire home/apt,110.0,5,235,2022-11-10,2.94,1,275,15,R22000076562,0,0,0,0,0,0,0,0,0
408,13150401,"Contemporary, elegantly styled apartment.",73361372,Igors,,West Town,41.90101,-87.69721,Entire home/apt,227.0,2,99,2022-11-27,1.24,2,114,20,R17000014958,0,0,0,0,0,0,0,0,0
409,13247627,Private room twin K3 front,36549783,MeffKey,,Irving Park,41.962921,-87.735283,Private room,37.0,2,30,2022-12-04,0.38,12,257,10,R19000039377,0,1,0,0,0,0,0,0,0
410,13311675,El Motel Dos with Patio in Logan Square,4069585,Liz,,Logan Square,41.92526,-87.70081,Entire home/apt,296.0,2,108,2022-12-04,1.36,4,275,33,2469905,0,0,0,0,0,0,0,0,0
411,13343525,Near McCormick Place and Minutes from Downtown!,31719116,Christopher,,Near South Side,41.84735,-87.61749,Entire home/apt,117.0,2,297,2022-12-05,3.8,1,304,37,R17000014176,0,0,0,0,0,0,0,0,0
412,13348367,"Spacious home 5BR/2BH, 10 min downtown w/parking",2407409,DQikka,,West Town,41.89382,-87.66761,Entire home/apt,289.0,2,177,2021-03-31,2.25,3,0,0,R17000017873,0,1,0,0,0,0,0,0,0
413,13361661,Charming home in Roscoe Village/W. Lakeview,43446278,Amber,,North Center,41.93904,-87.68141,Apartment,187.0,2,150,2022-12-04,1.98,1,330,27,R19000038590,0,0,0,0,0,0,0,0,1
414,13373997,Relax and Enjoy Chicago in an Updated and Private Apartment in Roscoe Village,75959513,Mark,,North Center,41.9462,-8767828.0,Apartment,149.0,2,327,2022-11-26,4.18,1,202,41,R21000072639,0,0,0,0,1,0,0,0,1
415,13414718,Spacious apartment in Logan Square,32970178,Joanne,,Logan Square,41.92178,-87.71199,Entire home/apt,109.0,2,185,2022-11-20,2.33,1,0,31,R17000017817,0,0,0,0,0,0,0,0,0
416,13414718,Spacious apartment in Logan Square,32970178,Joanne,,,41.92178,-87.71199,,,2,185,2022-11-20,2.33,1,0,31,R17000017817,1,0,2,0,0,0,0,0,2
417,13431644,Wicker Park Landmark Church,588905,Scott,,West Town,41.91083,-87.68311,Entire home/apt,250.0,32,11,2016-11-18,0.14,1,0,0,R19000042660,0,0,0,0,0,0,0,0,0
418,13453259,Modern and super cozy studio in Humboldt Park,50072271,Catalin,,West Town,41.90331,-87.69208,Entire home/apt,84.0,1,260,2022-11-14,3.29,1,317,30,R18000023813,0,0,0,0,0,0,0,0,0
419,13478467,Spacious & Stylish Home at the ♥ of Wicker Park,37615606,Joe,,West Town,41.90619,-87.68196,Entire home/apt,126.0,2,201,2022-12-13,2.65,1,55,29,R22000082215,0,0,0,0,0,0,0,0,0
420,13493868,Spacious 5-BR home next to transit! Great area!,48082237,Kate & Rick,,Logan Square,41.93141,-87.70778,Entire home/apt,300.0,3,197,2022-12-13,2.49,1,241,33,R21000075046,0,0,0,0,0,0,0,0,0
421,13509392,El Motel Tres Penthouse of the Sw with Patio Logan Square,4069585,Liz,,Logan Square,41.92526,-87.70081,Entire home/apt,210.0,2,117,2022-11-27,1.47,4,329,47,2469910,0,0,0,0,0,0,0,0,0
422,13522012,"Garden Room - King Bed, Sofa Bed, 1 Block to Train",22608682,Ryan,,East Garfield Park,4188302.0,-87.7096,Private room,38.0,1,463,2022-09-19,5.85,11,0,36,R22000094288,0,0,0,1,0,0,0,0,0
423,13532621,Chicago Pilsen 2Br,27659902,Iryna,,Lower West Side,41.84812,-8768518.0,Entire home/apt,40.0,32,2,2017-09-26,0.03,1,0,0,City registration pending,0,0,0,0,1,0,0,0,0
424,13547280,1 BR Bucktown/Wicker Pk-Grdn Apt. - Great Location,77972775,Doug,,West Town,41.91314,-87.67462,Entire home/apt,122.0,2,69,2022-11-28,0.88,2,343,15,R18000035068,0,0,0,0,0,0,0,0,0
425,13635380,"Egyptian Room - Free Parking, 1 block to CTA",22608682,Ryan,,East Garfield Park,41.88302,-87.7096,Private room,43.0,1,415,2022-11-26,5.26,11,325,33,R22000094288,0,0,0,0,0,0,0,0,0
426,13648548,"⭐️ Master Bedroom near Train, Grocery & Nightlife ⭐️",25668821,Kam,,Logan Square,41.91836,-87.68852,Private room,41.0,2,130,2022-11-08,1.71,14,17,24,R22000080349,0,2,0,0,0,0,0,0,0
427,13648600,"⭐️ Comfy Bedroom near Train, Grocery & Nightlife ⭐️",25668821,Kam,,Logan Square,41.9185,-87.68845,Private room,36.0,2,163,2022-11-06,2.15,14,17,28,R22000080349,0,2,0,0,0,0,0,0,0
428,13648645,"⭐️Garden Suite near Train, Grocery & Nightlife⭐️",25668821,Kam,,Logan Square,41.91836,-87.68852,Private room,50.0,2,122,2022-11-07,1.74,14,17,5,R22000080349,0,2,0,0,0,0,0,0,0
429,13656318,"Florence Room - 3min to CTA, Free Parking, Roomy",22608682,Ryan,,East Garfield Park,41.88302,-87.7096,Private room,39.0,1,379,2022-11-27,4.93,11,353,2,R22000094288,0,0,0,0,0,0,0,0,0
430,13666998,Easily accessible Uptown room,61402703,Cameron,,Uptown,41.96827,-87.6625,Private room,60.0,1,103,2022-12-04,1.31,1,0,22,R17000015758,0,0,0,0,0,0,0,0,0
431,13699494,"Cute Room, Trendy Area, Rehabbed Apt",4409207,Ali,,Avondale,41.94099,-87.72177,Private room,30.0,32,20,2018-04-17,0.28,1,0,0,R17000014341,0,0,0,0,0,0,0,0,0
432,13713501,Private Bed and Bathroom in a Great Location,68529496,Diana,,West Town,4189569.0,-87.68302,Private room,77.0,1,232,2022-12-11,3.0,1,304,44,R17000015438,0,0,0,1,0,0,0,0,0
433,13743298,Bucktown Studio Apartment,77545186,Anthony,,Logan Square,41.91735,-87.67135,Entire home/apt,67.0,32,148,2020-03-16,1.89,1,0,0,City registration pending,0,0,0,0,0,0,0,0,0
434,13746300,Cozy Garden Unit Located in North Center,46939427,Anthony,,North Center,41.95499,-87.69006,Entire home/apt,204.0,2,36,2022-07-25,0.46,6,363,3,R21000075718,0,0,0,0,0,0,0,0,0
435,13768369,Beautiful Spa Like Suite on the North side!,46939427,Anthony,,North Center,41.95617,-87.68924,Entire home/apt,182.0,2,43,2022-10-09,0.55,6,363,6,R21000075718,0,0,0,0,0,0,0,0,0
436,13776092,Super Comfortable Bedroom For Frequent Travelers,76133827,Anny,,West Town,41.89558,-87.66266,Private room,81.0,1,143,2022-11-30,1.83,6,350,25,R22000079230,0,2,0,0,0,0,0,0,0
437,13776092,Super Comfortable Bedroom For Frequent Travelers,76133827,Anny,,West Town,41.89558,-87.66266,Private room,81.0,1,143,2022-11-30,1.83,6,350,25,R22000079230,1,2,0,0,0,0,0,0,0
438,13798441,"Beautiful 1-bedroom, 1-bathroom Bucktown Apartment",81125437,Julie,,Logan Square,41.92121,-87.68294,Entire home/apt,145.0,2,200,2022-11-16,2.55,1,85,41,R20000053686,0,0,0,0,0,0,0,0,0
439,13798441,"Beautiful 1-bedroom, 1-bathroom Bucktown Apartment",81125437,Julie,,Logan Square,41.92121,-87.68294,Entire home/apt,145.0,2,200,2022-11-16,2.55,1,85,41,R20000053686,1,0,0,0,0,0,0,0,0
440,13857415,Really nice private room and bathroom with parking,20538405,Baila,,Hyde Park,41.79055,-87.59796,Private room,100.0,32,232,2022-11-07,2.97,2,363,33,R17000014854,0,0,0,0,0,0,0,0,0
441,13928644,5-Star Private Suite- Safe & Cozy for up to 4!,41261231,Emily,,Humboldt Park,41.91103,-87.71969,Apartment,151.0,2,105,2022-10-10,1.35,1,0,9,R17000014931,0,0,0,0,0,0,0,0,1
442,13967723,"Charming, Perfectly Located Logan Square Apt",1559709,Amanda,,Logan Square,41.92257,-87.70115,Entire home/apt,76.0,1,154,2020-03-08,1.97,1,0,0,R17000017653,0,0,0,0,0,0,0,0,0
443,14058848,Bright One Bedroom in the HEART of Wicker Park!,84374485,Gina,,West Town,41.90646,-87.66635,Entire home/apt,120.0,1,4,2019-07-28,0.06,1,0,0,R17000019343,0,0,0,0,0,0,0,0,0
444,14071876,"Whole Flat in Private Club. Walk to L, Dining & Shows",52855427,Aaron,,Uptown,41.96937,-8765686.0,Entire home/apt,114.0,2,387,2022-11-30,4.96,1,324,72,2594652,0,0,0,0,1,0,0,0,0
445,14085322,Heart of Chicago/ Pilsen Garden Studio,24462349,Nathan,,Lower West Side,41.85809,-87.67762,Entire home/apt,75.0,2,544,2022-11-27,6.98,1,90,63,R17000017643,0,0,0,0,0,0,0,0,0
446,14141704,"Modern, Super-CLEAN, Garden Level w/ Master Bath",12955486,Luke & Ligia,,Edgewater,41.99067,-87.6609,Private room,45.0,20,12,2020-11-03,0.16,3,80,0,R18000034100,0,0,0,0,0,0,0,0,0
447,14141861,"Modern, Super-CLEAN, Garden Level Bedroom 1",12955486,Luke & Ligia,,Edgewater,41.98905,-87.66186,Private room,49.0,20,24,2022-09-30,0.31,3,132,4,R18000034100,0,0,0,0,0,0,0,0,0
448,14144295,"Explore the City from an Elegant, Urban Retreat",41767444,Mar & De,,West Town,4189199.0,-87.65802,Entire home/apt,146.0,2,304,2022-10-29,3.91,4,337,36,R20000055481,0,2,0,1,0,0,0,0,0
449,14154418,Wicker Park Coach House,10781206,Heidi,,West Town,41.9067,-87.67738,Entire home/apt,159.0,32,156,2021-01-03,2.04,1,67,0,R20000058879,0,0,0,0,0,0,0,0,0
450,14166242,Hip Chicago Apartment - FREE Parking Spot Included,24129606,geo nGAlex,,Logan Square,41.91545,-87.71085,Entire home/apt,24.0,1,644,2022-12-18,8.28,3,314,86,R21000071139,0,2,0,0,0,0,0,0,0
451,14167586,"Large room-private bth and balcony, Wicker Park!!!",27232871,Fabio,,West Town,41.90004,-87.67184,Private room,78.0,32,213,2022-03-23,2.74,2,365,4,R18000034122,0,0,0,0,0,0,0,0,0
452,14238448,Logan Square 2 bedroom great location,74207440,Daniel,,Logan Square,41.91642,-87.70351,Entire home/apt,115.0,2,360,2022-11-21,4.73,1,189,22,City registration pending,0,0,0,0,0,0,0,0,0
453,14238448,Logan Square 2 bedroom great location,74207440,Daniel,,Logan Square,41.91642,-87.70351,Entire home/apt,115.0,2,360,2022-11-21,4.73,1,189,22,City registration pending,1,0,0,0,0,0,0,0,0
454,14349670,Loft Style Private Apt 2 (1 Room- 420 Friendly),71816766,Josh,,Rogers Park,41.99932,-87.67223,Private room,42.0,1,235,2022-12-10,3.04,5,38,30,,0,0,0,0,0,0,0,0,0
455,14400814,"Chicago’s Dickens Place, flat!",77183388,Al & Mary,,Logan Square,41.92026,-87.71145,Entire home/apt,150.0,32,275,2022-05-01,3.59,2,307,8,R20000051961,0,0,0,0,0,0,0,0,0
456,14429433,Studio Apartment in Nature Sancturary,88800453,Beatrice & Stefan,,East Garfield Park,41.88732,-87.7132,Entire home/apt,71.0,2,132,2021-09-20,1.71,1,9,0,R17000016523,0,0,0,0,0,0,0,0,0
457,14446269,Private room with bath near U of C,67390878,Alex,,Hyde Park,41.80018,-87.60443,Private room,41.0,2,5,2019-10-02,0.07,1,0,0,R17000014242,0,0,0,0,0,0,0,0,0
458,14449619,"Private Room in a  plant filled, two cat space!",20528482,Gavin,,West Town,41.89818,-87.66758,Private room,80.0,1,272,2022-11-12,3.53,1,169,25,R21000075329,0,0,0,0,0,0,0,0,0
459,14486985,"In the heart of Pilsen, Self Check In",42645017,John,,Lower West Side,41.85657,-87.65362,Private room,49.0,2,224,2022-12-16,2.9,1,3,61,R17000015825,0,0,0,0,0,0,0,0,0
460,14490847,"Big house, sauna, pool table, two decks, sheep",5080189,Dylan,,Portage Park,41.94997,-87.74831,Apartment,250.0,4,3,2022-07-24,0.54,1,0,3,R22000078285,0,0,0,0,0,0,0,0,1
461,14490975,"Private unit with sauna in safe, pretty area!",89435479,Jane,,Portage Park,41.95083,-87.74887,Entire home/apt,60.0,32,271,2022-10-31,3.51,1,90,15,City registration pending,0,0,0,0,0,0,0,0,0
462,14531526,Spacious Clean Chicago Three Bedroom w/Parking,85455802,Lou,,West Town,41.89286,-87.68706,Entire home/apt,184.0,2,155,2022-12-18,2.02,1,180,21,R21000073666,0,0,0,0,0,0,0,0,0
463,14539561,Classic Chicago Private Sunny Home Roscoe Village & Wrigley,61228,Aisha,,North Center,41.94643,-87.68399,Entire home/apt,141.0,2,200,2022-12-07,2.6,1,83,36,R20000054149,0,0,0,0,0,0,0,0,0
464,14546442,"Sophisticated Edgewater 3BR, 1600 ft2 (+parking!)",9094538,Nicole,,Edgewater,41.98994,-87.66185,Entire home/apt,121.0,32,119,2022-04-25,1.55,13,0,6,Registration pending,0,0,0,0,0,0,0,0,0
465,14556304,Spacious & Relaxing Loft in Awesome Andersonville!,90128865,Marty & Rob,,Edgewater,41.9902,-87.6717,Private room,64.0,3,204,2022-11-24,2.69,3,180,26,R21000068268,0,0,0,0,0,0,0,0,0
466,14578426,Logan square Hot spot!  Casa Havana,19069769,Brad,,Avondale,41.93266,-87.70723,Entire home/apt,95.0,30,20,2020-02-04,0.26,1,120,0,R18000035033,0,0,0,0,0,0,0,0,0
467,14588581,Roscoe Village Haven,11257311,Olivia And Tom,,North Center,41.94428,-87.68633,Apartment,101.0,2,140,2022-11-20,1.83,1,250,34,R18000030189,0,0,0,0,0,0,0,0,1
468,14595303,Lakeview Flat - WALK TO WRIGLEY,45401863,Joe,,North Center,41.95219,-87.67404,Entire home/apt,161.0,32,179,2022-10-24,2.33,1,0,10,R21000074723,0,0,0,0,0,0,0,0,0
469,14611960,The Bucktown House - Damen Suite - Since 2008,90644159,Jean,,Logan Square,41.92055,-8767794.0,Entire home/apt,293.0,4,81,2022-11-30,1.05,4,112,17,2246788,0,0,0,0,1,0,0,0,0
470,14611960,The Bucktown House - Damen Suite - Since 2008,90644159,Jean,,Logan Square,41.92055,-8767794.0,Entire home/apt,293.0,4,81,2022-11-30,1.05,4,112,17,2246788,1,0,0,0,1,0,0,0,0
471,14631349,The Bucktown House - Historic Coachhouse Since '08,90644159,Jean,,Logan Square,41.92214,-87.68344,Entire home/apt,324.0,4,50,2022-11-27,0.67,4,123,18,2093472,0,0,0,0,0,0,0,0,0
472,14650845,Top Floor of Historic Coachhouse,90644159,JeaB,,Logan Square,41.92214,-87.68344,Entire home/apt,179.0,32,40,2022-01-04,0.55,4,0,1,2093474,0,1,0,0,0,0,0,0,0
473,14692738,Bright and spacious guest bedroom by the lake,5294649,Emily,,Rogers Park,42.00838,-87.66233,Private room,48.0,32,36,2021-12-12,0.88,1,0,0,City registration pending,0,0,0,0,0,0,0,0,0
474,14715067,The Firehouse B&B - The Bunk Room,91569484,Gary,,Irving Park,41.94858,-87.71012,Private room,110.0,32,21,2021-10-10,0.28,1,179,0,R17000014923,0,0,0,0,0,0,0,0,0
475,14728382,The Hide-Away | South Loop Apartment,1652379,Fearlie,,Near South Side,41.86494,-8762502.0,Entire home/apt,165.0,1,201,2022-12-04,2.64,2,357,24,R22000085634,0,2,0,0,1,0,0,0,0
476,14774756,Decompress on a Sophisticated Chaise at a Glamorous Hideaway,26201109,Simida,,West Town,41.89976,-87.67868,Entire home/apt,279.0,2,132,2022-11-27,1.72,2,361,13,R22000086754,0,0,0,0,0,0,0,0,0
477,14820957,Private room twin K3 mid,36549783,Jeffrey,,Irving Park,41.962921,-87.735283,Private room,37.0,2,20,2022-10-23,0.3,12,174,4,R19000039377,0,0,0,0,0,0,0,0,0
478,14859319,Beautiful Urban Oasis Near Downtown!,45316706,Katelyn,,West Town,41.90002,-87.66215,Entire home/apt,221.0,2,9,2019-08-04,0.17,1,0,0,R17000013562,0,0,0,0,0,0,0,0,0
479,14864741,Downtown Oasis,93114656,Jennifer,,Loop,41.86917,-87.62898,Entire home/apt,100.0,14,33,2020-09-01,0.53,1,0,0,City registration pending,0,0,0,0,0,0,0,0,0
480,14883494,The Compound a hidden oasis in Logan Square,1187822,Mark,,Logan Square,41.91977,-87.69579,Entire home/apt,231.0,32,58,2022-10-29,0.76,1,85,4,2822986,0,0,0,0,0,0,0,0,0
481,14933038,"Cozy loft w/ plants, great light & city views",11162469,Rose,,Near South Side,41.85756,-87.62263,Entire home/apt,102.0,32,1,2022-05-07,0.13,1,175,1,,0,0,0,0,0,0,0,0,0
482,14950449,"Urban Oasis, Honeymoon Suite",17052211,Yolie,,West Town,41.90923,-87.67532,Private room,182.0,32,13,2019-06-03,0.17,1,365,0,City registration pending,0,0,0,0,0,0,0,0,0
483,15008013,"Cozy, 2 Bdrm Wicker Park Apt",17055607,Cathy,,West Town,41.90885,-87.68632,Entire home/apt,99.0,3,3,2017-09-24,0.04,1,0,0,R17000019488,0,0,0,0,0,0,0,0,0
484,15008013,"Cozy, 2 Bdrm Wicker Park Apt",17055607,Cathy,,West Town,41.90885,-87.68632,Entire home/apt,99.0,3,3,2017-09-24,0.04,1,0,0,R17000019488,1,0,0,0,0,0,0,0,0
485,15011149,"Classy and homey, just steps from Logan Square",24998094,Kelsey,,Avondale,41.9383,-87.70641,Entire home/apt,500.0,3,17,2022-07-30,0.44,1,51,5,R22000093587,0,0,0,0,0,0,0,0,0
486,15019977,Centrally located Apartment near Fulton Market,80492291,Tara,,West Town,41.89188,-87.6574,Entire home/apt,275.0,1,96,2022-10-15,1.44,1,179,5,R17000013947,0,0,0,0,0,0,0,0,0
487,15024671,Designer Suite on Tree Lined Street in Bucktown,90644159,Jean,,Logan Square,41.92214,-87.68344,Entire home/apt,179.0,4,75,2022-11-28,1.06,4,2,27,R21000075330,0,0,0,0,0,0,0,0,0
488,15053294,Northside Chicago Favorite with parking!,95140453,Mark & Marcelo,,Rogers Park,42.01382,-87.67111,Apartment,258.0,2,199,2022-10-24,2.66,1,268,31,R22000077000,0,0,0,0,0,0,0,0,1
489,15116890,"Lovely,large 1BR flat in Logan Square",30589635,Geeta,,Logan Square,41.92748,-87.71818,Entire home/apt,81.0,32,302,2022-11-02,3.98,1,144,10,City registration pending,0,0,0,0,0,0,0,0,0
490,15149053,Spacious private room/bath in modern home,96093069,Sujata,,West Town,41.89294,-87.66019,Private room,90.0,2,94,2022-10-25,1.25,2,44,15,R18000034175,0,0,0,0,0,0,0,0,0
491,15217088,Modern Condo where East meets West!,10613587,Saurin,,West Town,41.89382,-87.6587,Entire home/apt,650.0,32,89,2021-05-18,1.19,4,169,0,R17000013561,0,0,0,0,0,0,0,0,0
492,15250951,King suite - 2-bedroom suite with free parking,20538405,Baila,,Hyde Park,41.79035,-87.59775,Private room,100.0,32,245,2022-11-04,3.25,2,265,45,R17000014854,0,0,0,0,0,0,0,0,0
493,15250951,King suite - 2-bedroom suite with free parking,20538405,Baila,,Hyde Park,41.79035,-87.59775,Private room,100.0,32,245,2022-11-04,3.25,2,265,45,R17000014854,1,0,0,0,0,0,0,0,0
494,15256715,Beautiful Three Bedroom Apartment near Loyola,43509707,Patricia J,,Rogers Park,41.99833,-87.66198,Entire home/apt,98.0,1,207,2022-12-09,2.88,1,332,39,R19000051325,0,0,0,0,0,0,0,0,0
495,15286045,Cheery Vintage Rehab with Huge Windows,30358855,Steffi,,Edgewater,41.98933,-87.66711,Entire home/apt,85.0,1,51,2018-05-02,0.68,1,0,0,R17000017741,0,0,0,0,0,0,0,0,0
496,15322642,Blues Brothers - Express | South Loop Studio,1652379,Charlie,,Near South Side,41.86423,-87.6267,Entire home/apt,114.0,1,237,2022-11-27,3.14,2,352,25,R22000084351,0,2,0,0,0,0,0,0,0
497,15328919,"Chicago’s Best Airbnb
In hip Avondale/Logan Sq",72214694,Carolynn,,Avondale,41.93781,-87.72567,Entire home/apt,214.0,3,89,2022-10-31,1.18,1,80,12,R17000015182,0,0,0,0,0,0,0,0,0
498,15342084,"Bright, Modern Apartment in a Vintage Greystone",54865295,Tob,,West Town,41.89534,-87.67586,Entire home/apt,169.0,2,277,2022-11-28,3.7,2,331,42,R21000075164,0,2,0,0,0,0,0,0,0
499,15355696,Bingham 2/2,374295,Margaret,,Logan Square,41.91884,-87.69267,Entire home/apt,231.0,2,89,2022-11-27,1.18,1,163,31,R17000014471,0,0,0,0,0,0,0,0,0
500,15406710,"Sunny, spacious and cute.",10514167,Mona,,West Ridge,41.989,-87.69312,Entire home/apt,65.0,32,15,2022-12-12,0.2,1,334,3,R21000072819,0,0,0,0,0,0,0,0,0
501,15420226,🍀420fr. 🧿Blue Sky Apartment FREEParking,35342456,Roberto,,Portage Park,41.94062,-87.75515,Entire home/apt,339.0,32,42,2022-06-26,0.69,18,365,5,2827372,0,2,0,0,0,0,0,0,0
502,15464357,Short stay-Warm and Cozy room in Beautiful Condo,18742622,Barbara,,Rogers Park,42.02132,-87.67378,Private room,46.0,3,109,2022-10-18,1.45,2,365,11,R18000034124,0,0,0,0,0,0,0,0,0
503,15492694,Cozy Wrigley-Adjacent Room,37228627,Abby,,Uptown,41.95964,-87.65453,Private room,52.0,32,120,2019-12-22,1.6,1,0,0,R18000030229,0,0,0,0,0,0,0,0,0
504,15496152,Augusta's Garden | Noble Square | Wicker Park,45828803,Heather + JP,,West Town,41.90059,-87.66321,Entire home/apt,133.0,2,264,2022-11-21,3.54,2,171,41,R18000035519,0,2,0,0,0,0,0,0,0
505,15500042,Tropical Bungalow Getaway in Quiet Neighborhood,24736657,Richard,,Portage Park,41.9568,-87.75205,Entire home/apt,98.0,2,70,2022-10-23,1.08,1,157,13,R17000017804,0,0,0,0,0,0,0,0,0
506,15500209,Top Floor Historic District Home (1916) Awaits You,68756440,Milly And Will,,Irving Park,41.96088,-87.71155,Entire home/apt,257.0,1,79,2020-03-15,1.06,1,0,0,R17000015297,0,0,0,0,0,0,0,0,0
507,15536856,Cossy room close to lake in Chicago,98079932,Claudia,,Uptown,41.97373,-87.65573,Private room,61.0,1,10,2022-11-06,2.73,3,358,10,R22000087451,0,2,0,0,0,0,0,0,0
508,15551602,"Boulevard Place @ the ""606""",76786280,Lilly,,Logan Square,4191618.0,-87.70394,Entire home/apt,171.0,32,48,2020-08-25,0.64,1,168,0,R17000014252,0,0,0,1,0,0,0,0,0
509,15578702,"Hot Logan Square by Blueline Train,bars,restaurant",44041158,Bill,,Logan Square,41.92596,-87.71419,Apartment,105.0,60,4,2022-08-31,0.1,2,178,1,City registration pending,0,0,0,0,0,0,0,0,1
510,15581842,Large vintage inspired room in the heart of Logan,3485902,Maghen,,Logan Square,41.92922,-87.70573,Private room,60.0,2,229,2021-09-20,3.1,1,0,0,R17000014794,0,0,0,0,0,0,0,0,0
511,15600903,PREMIUM EXCLUSIVE 2 BEDROOM 2 BATH POOL HOT-TUB,67653393,Dan,,Loop,41.87341,-87.63001,Entire home/apt,210.0,32,1,2017-01-28,0.01,4,298,0,City registration pending,0,0,0,0,0,0,0,0,0
512,15648436,Logan sq./basement studio apt. Near public trans,100975627,Benjamin,,Logan Square,41.92583,-87.7119,Entire home/apt,41.0,32,1,2017-01-25,0.01,3,363,0,"Multiple dwelling registration on file at city hall, paid 3 years in advance.this is not a shared unit. It is an entire apt with private utility meters",0,0,0,0,0,0,0,0,0
513,15659073,"Gorgeous, cozy 1-bedroom Suite in Andersonville",9252191,Betsy,,Edgewater,41.97985,-87.67218,Entire home/apt,92.0,2,254,2022-12-18,3.4,1,203,52,R22000077486,0,0,0,0,0,0,0,0,0
514,15663486,"3 miles to Wrigley, private, cozy, easy access",101130285,Shaun & Andreea,,Irving Park,41.94955,-87.71748,Private room,99.0,1,50,2022-10-23,0.67,1,362,12,R17000014802,0,0,0,0,0,0,0,0,0
515,15665494,"Rustic Charm,  Eco-friendly -Chicago Bungalow Belt",94825078,Melissa,,Portage Park,41.94713,-87.7712,Entire home/apt,90.0,2,112,2022-12-11,5.93,1,308,77,R20000058361,0,0,0,0,0,0,0,0,0
516,15669026,Super Cozy Bed/Bath in Awesome Andersonville Home!,90128865,Marty & Rob,,Edgewater,41.98842,-87.67222,Private room,60.0,3,250,2022-11-14,3.35,3,175,23,R17000015791,0,0,0,0,0,0,0,0,0
517,15694333,Welcoming 2BR in Chicago's Best Neighborhood!,3486589,Kathy,,West Town,41.8985,-87.67771,Entire home/apt,118.0,3,215,2022-11-27,2.88,1,0,48,R21000074202,0,0,0,0,0,0,0,0,0
518,15730074,Cozy 1 bdrm w/ access to train& bus,26031445,Monti,,Irving Park,41.94379,-87.73207,Private room,89.0,32,0,,,1,0,0,R20000056180,0,0,0,0,0,0,0,2,0
519,15798238,Classic Edgewater 3-BR/1-BA (w parking!),9094538,Nicole,,Edgewater,41.98779,-87.66215,Entire home/apt,141.0,32,88,2022-07-01,1.18,13,0,3,City registration pending,0,0,0,0,0,0,0,0,0
